Wall time,Step,Value
1667796982.666439,100000,0.6712505221366882
1667797252.9722004,200000,0.7320446968078613
1667797520.2308528,300000,0.7522254586219788
1667797792.900901,400000,0.8510685563087463
1667798064.722812,500000,0.9291679263114929
1667798358.2953486,600000,0.9631047248840332
1667798808.0687027,700000,0.9782233238220215
1667799017.2557383,800000,0.9865424633026123
1667799231.132586,900000,0.9887098073959351
1667799446.4765189,1000000,0.9909939169883728
1667799670.268756,1100000,0.9919137954711914
1667799887.573024,1200000,0.9925512075424194
1667800105.3692741,1300000,0.9916611909866333
1667800329.3260312,1400000,0.9943481087684631
1667800551.585293,1500000,0.9936584830284119
1667800775.500315,1600000,0.9946547746658325
1667801001.6619966,1700000,0.9949648380279541
