Wall time,Step,Value
1667270668.9799767,100000,0.6292597651481628
1667270867.1099775,200000,0.7304027676582336
1667271081.2788258,300000,0.7347926497459412
1667271295.144448,400000,0.7380374670028687
1667271499.2239501,500000,0.8217765092849731
1667271706.216964,600000,0.8591545224189758
1667271913.0881362,700000,0.8605051040649414
1667272124.990253,800000,0.8923307061195374
1667272347.3264737,900000,0.9334297776222229
1667272575.1968348,1000000,0.9501299262046814
1667272809.1757464,1100000,0.9687259197235107
1667273025.2122176,1200000,0.9766798615455627
1667273251.6513216,1300000,0.9832271337509155
1667273487.8755386,1400000,0.9848446846008301
1667273722.923725,1500000,0.9870498180389404
1667273954.3291073,1600000,0.9892871379852295
1667274186.8593583,1700000,0.9906874299049377
1667274424.4362373,1800000,0.9899929165840149
1667274663.8093405,1900000,0.9915675520896912
1667274906.3908427,2000000,0.9934914708137512
1667275149.5362647,2100000,0.9920388460159302
1667275378.3243556,2200000,0.9930355548858643
1667275621.404974,2300000,0.9944183826446533
1667275865.342658,2400000,0.9924171566963196
1667276101.5343647,2500000,0.9937739372253418
1667276341.961584,2600000,0.994342029094696
1667276595.8985746,2700000,0.9936486482620239
1667276845.7286592,2800000,0.9945292472839355
1667278584.6932383,2600000,0.9938608407974243
1667278825.8967195,2700000,0.9939975738525391
1667279073.7673323,2800000,0.9944451451301575
1667279322.3265076,2900000,0.9945964813232422
1667279571.6252034,3000000,0.9952236413955688
1667279822.1754992,3100000,0.9944960474967957
1667280074.0015628,3200000,0.9944782853126526
1667280328.8236594,3300000,0.9951373934745789
1667280582.3053756,3400000,0.9959823489189148
1667280839.2955637,3500000,0.9957827925682068
1667281090.2303715,3600000,0.9962819218635559
1667281335.623297,3700000,0.9955207705497742
1667281579.9973445,3800000,0.9965097308158875
1667281826.92322,3900000,0.9963721632957458
1667282085.0871947,4000000,0.996616780757904
1667282344.4248168,4100000,0.9966638684272766
1667282601.444675,4200000,0.9964529275894165
1667282860.5505905,4300000,0.9959895610809326
1667283123.1412382,4400000,0.9959492683410645
1667283386.7775514,4500000,0.9966433644294739
