Wall time,Step,Value
1667270668.9784772,100000,61.14276885986328
1667270867.127116,200000,62.41698455810547
1667271081.2828302,300000,55.45649719238281
1667271295.1609592,400000,58.469085693359375
1667271499.2404659,500000,43.05543518066406
1667271706.2211382,600000,35.21436309814453
1667271913.1066568,700000,33.14685821533203
1667272125.0067992,800000,28.178686141967773
1667272347.3475008,900000,21.041345596313477
1667272575.2148602,1000000,16.694557189941406
1667272809.172747,1100000,12.426843643188477
1667273025.2307355,1200000,10.921454429626465
1667273251.656832,1300000,9.001996040344238
1667273487.8830392,1400000,8.003159523010254
1667273722.943244,1500000,7.158225059509277
1667273954.3246064,1600000,6.41099739074707
1667274186.8793805,1700000,6.261147499084473
1667274424.459386,1800000,5.78964900970459
1667274663.8339722,1900000,5.33096981048584
1667274906.4148746,2000000,4.8723530769348145
1667275149.531766,2100000,4.967626094818115
1667275378.3443732,2200000,4.650341987609863
1667275621.4260044,2300000,4.438985824584961
1667275865.363181,2400000,4.332889080047607
1667276101.5569263,2500000,4.34773063659668
1667276341.9560843,2600000,4.084498405456543
1667276595.8915753,2700000,4.034982681274414
1667276845.737665,2800000,3.8990933895111084
1667278345.2819111,2500000,0.0
1667278584.6887383,2600000,4.138467788696289
1667278825.891084,2700000,3.8973655700683594
1667279073.7923684,2800000,3.889655113220215
1667279322.3500426,2900000,3.816352128982544
1667279571.6477313,3000000,3.7349586486816406
1667279822.16849,3100000,3.64454984664917
1667280073.9950438,3200000,3.6599411964416504
1667280328.8482823,3300000,3.507077217102051
1667280582.3319032,3400000,3.441143751144409
1667280839.2905545,3500000,3.3471436500549316
1667281090.2247217,3600000,3.213244676589966
1667281335.6443238,3700000,3.2473347187042236
1667281580.0243733,3800000,3.156398057937622
1667281826.9483807,3900000,3.169126272201538
1667282085.0791874,4000000,3.100914478302002
1667282344.417298,4100000,3.0103085041046143
1667282601.4371579,4200000,2.990065813064575
1667282860.5764136,4300000,3.007173776626587
1667283123.1652632,4400000,2.946930170059204
1667283386.8050961,4500000,2.8887851238250732
